,user,title,tags,num_of_tags,description
20,Digikuvaaja,Motocross driver accelerating the motorbike on the race track,"['motorbike', 'motocross', 'sport', 'speed', 'enduro', 'motorcycle', 'competition', 'extreme', 'action', 'motorsport', 'bike', 'velocity', 'accelerating', 'crosscountry', 'cross', 'adrenalin', 'danger', 'dangerous', 'active', 'dirt', 'dirtbike', 'driver', 'engine', 'fun', 'helmet', 'male', 'man', 'motion', 'motor', 'mud', 'offroad', 'outdoor', 'performance', 'person', 'power', 'race', 'racer', 'rider', 'riding', 'risk', 'sky', 'terrain', 'trail', 'muddy']",44,Motocross driver in action accelerating the motorbike after the corner on the race track.
21,Digikuvaaja,Motocross drivers in competition on the race track,"['motocross', 'driver', 'enduro', 'race', 'accelerating', 'motorbike', 'action', 'bike', 'two', 'competition', 'velocity', 'cross', 'crosscountry', 'danger', 'dangerous', 'adrenalin', 'dirt', 'dirtbike', 'active', 'engine', 'extreme', 'fun', 'helmet', 'male', 'man', 'motion', 'motor', 'motorsport', 'motorcycle', 'mud', 'offroad', 'outdoor', 'performance', 'person', 'power', 'racer', 'rider', 'riding', 'risk', 'sky', 'speed', 'sport', 'terrain', 'trail']",44,Motocross drivers in competition on the race track.
22,Digikuvaaja,Motocross driver accelerating the motorbike on the race track,"['motocross', 'action', 'sport', 'speed', 'competition', 'velocity', 'accelerating', 'bike', 'crosscountry', 'extreme', 'cross', 'adrenalin', 'danger', 'dangerous', 'active', 'dirt', 'dirtbike', 'driver', 'enduro', 'engine', 'fun', 'helmet', 'male', 'man', 'motion', 'motor', 'motorsport', 'motorbike', 'motorcycle', 'mud', 'offroad', 'outdoor', 'performance', 'person', 'power', 'race', 'racer', 'rider', 'riding', 'risk', 'sky', 'terrain', 'trail', 'muddy']",44,Motocross driver in action accelerating the motorbike  on muddy race track.
23,Digikuvaaja,Motocross driver accelerating the motorbike on the race track,"['motocross', 'motorbike', 'accelerating', 'action', 'velocity', 'crosscountry', 'motorcycle', 'racer', 'motorsport', 'riding', 'race', 'offroad', 'bike', 'active', 'adrenalin', 'dangerous', 'competition', 'danger', 'dirt', 'dirtbike', 'driver', 'enduro', 'engine', 'extreme', 'fun', 'helmet', 'male', 'man', 'motion', 'motor', 'mud', 'outdoor', 'performance', 'person', 'power', 'rider', 'risk', 'sky', 'speed', 'sport', 'terrain', 'trail', 'cross']",43,Motocross driver in action accelerating the motorbike after the corner on the race track.
24,hugovk,Accelerating cavity from CERN's Large Electron Positron collider (LEP),"['hvk', 'cameraphone', 'uploaded:by=email', 'geo:country=unitedkingdom', 'acceleratingcavityfromcernslargeelectronpositroncolliderlep', 'edinburgh', 'accelerating', 'cavity', 'lauriston', 'from', 'geo:region=scotland', 'lothian', 'cerns', 'large', 'geo:neighbourhood=lauriston', 'electron', 'geo:locality=edinburgh', 'scotland', 'positron', 'collider', 'geo:county=lothian', 'unitedkingdom', 'lep', 'exif:flash=offdidnotfire', 'exif:isospeed=160', 'exif:aperture=24', 'exif:exposure=150', 'camera:model=808pureview', 'meta:exif=1473865955', 'camera:make=nokia', 'exif:orientation=horizontalnormal', 'exif:exposurebias=0', 'exif:focallength=80mm', 'nokia', '808', 'pureview', 'carlzeiss', 'nokia808pureview', 'hugovk', 'summer', 'july', '2016', 'kesä']",43,National Museums Scotland
25,hugovk,Accelerating cavity from CERN's Large Electron Positron collider (LEP),"['hvk', 'cameraphone', 'uploaded:by=email', 'acceleratingcavityfromcernslargeelectronpositroncolliderlep', 'accelerating', 'cavity', 'from', 'cerns', 'large', 'electron', 'positron', 'collider', 'lep', 'geo:country=unitedkingdom', 'edinburgh', 'lauriston', 'geo:region=scotland', 'lothian', 'geo:neighbourhood=lauriston', 'geo:locality=edinburgh', 'scotland', 'geo:county=lothian', 'unitedkingdom', 'exif:flash=offdidnotfire', 'exif:aperture=24', 'exif:exposure=149', 'camera:model=808pureview', 'exif:isospeed=125', 'camera:make=nokia', 'meta:exif=1473865962', 'exif:orientation=horizontalnormal', 'exif:exposurebias=0', 'exif:focallength=80mm', 'nokia', '808', 'pureview', 'carlzeiss', 'nokia808pureview', 'hugovk', 'summer', 'july', '2016', 'kesä']",43,National Museums Scotland
26,hugovk,Accelerating cavity from CERN's Large Electron Positron collider (LEP),"['hvk', 'cameraphone', 'uploaded:by=email', 'acceleratingcavityfromcernslargeelectronpositroncolliderlep', 'accelerating', 'cavity', 'from', 'cerns', 'large', 'electron', 'positron', 'collider', 'lep', 'geo:country=unitedkingdom', 'edinburgh', 'lauriston', 'geo:region=scotland', 'lothian', 'geo:neighbourhood=lauriston', 'geo:locality=edinburgh', 'scotland', 'geo:county=lothian', 'unitedkingdom', 'exif:flash=offdidnotfire', 'exif:isospeed=160', 'exif:aperture=24', 'camera:model=808pureview', 'exif:exposure=133', 'camera:make=nokia', 'exif:orientation=horizontalnormal', 'meta:exif=1473865968', 'exif:exposurebias=0', 'exif:focallength=80mm', 'nokia', '808', 'pureview', 'carlzeiss', 'nokia808pureview', 'hugovk', 'summer', 'july', '2016', 'kesä']",43,National Museums Scotland
27,hugovk,Accelerating cavity from CERN's Large Electron Positron collider (LEP),"['hvk', 'cameraphone', 'uploaded:by=email', 'acceleratingcavityfromcernslargeelectronpositroncolliderlep', 'accelerating', 'cavity', 'from', 'cerns', 'large', 'electron', 'positron', 'collider', 'lep', 'geo:country=unitedkingdom', 'edinburgh', 'lauriston', 'geo:region=scotland', 'lothian', 'geo:neighbourhood=lauriston', 'geo:locality=edinburgh', 'scotland', 'geo:county=lothian', 'unitedkingdom', 'exif:flash=offdidnotfire', 'exif:isospeed=160', 'exif:aperture=24', 'exif:exposure=150', 'camera:model=808pureview', 'camera:make=nokia', 'meta:exif=1473865975', 'exif:orientation=horizontalnormal', 'exif:exposurebias=0', 'exif:focallength=80mm', 'nokia', '808', 'pureview', 'carlzeiss', 'nokia808pureview', 'hugovk', 'summer', 'july', '2016', 'kesä']",43,National Museums Scotland
28,hugovk,Accelerating cavity from CERN's Large Electron Positron collider (LEP),"['hvk', 'cameraphone', 'uploaded:by=email', 'acceleratingcavityfromcernslargeelectronpositroncolliderlep', 'accelerating', 'cavity', 'from', 'cerns', 'large', 'electron', 'positron', 'collider', 'lep', 'geo:country=unitedkingdom', 'edinburgh', 'lauriston', 'geo:region=scotland', 'lothian', 'geo:neighbourhood=lauriston', 'geo:locality=edinburgh', 'scotland', 'geo:county=lothian', 'unitedkingdom', 'exif:flash=offdidnotfire', 'exif:aperture=24', 'camera:model=808pureview', 'exif:exposure=133', 'meta:exif=1473865982', 'camera:make=nokia', 'exif:orientation=horizontalnormal', 'exif:exposurebias=0', 'exif:isospeed=125', 'exif:focallength=80mm', 'nokia', '808', 'pureview', 'carlzeiss', 'nokia808pureview', 'hugovk', 'summer', 'july', '2016', 'kesä']",43,National Museums Scotland
29,hugovk,Accelerating cavity from CERN's Large Electron Positron collider (LEP),"['hvk', 'cameraphone', 'uploaded:by=email', 'acceleratingcavityfromcernslargeelectronpositroncolliderlep', 'accelerating', 'cavity', 'from', 'cerns', 'large', 'electron', 'positron', 'collider', 'lep', 'geo:country=unitedkingdom', 'edinburgh', 'lauriston', 'geo:region=scotland', 'lothian', 'geo:neighbourhood=lauriston', 'geo:locality=edinburgh', 'scotland', 'geo:county=lothian', 'unitedkingdom', 'exif:flash=offdidnotfire', 'exif:aperture=24', 'exif:exposure=150', 'camera:model=808pureview', 'exif:isospeed=64', 'camera:make=nokia', 'exif:orientation=horizontalnormal', 'meta:exif=1473865996', 'exif:exposurebias=0', 'exif:focallength=80mm', 'nokia', '808', 'pureview', 'carlzeiss', 'nokia808pureview', 'hugovk', 'summer', 'july', '2016', 'kesä']",43,National Museums Scotland
